entry	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (molecular function)
sce:YGR157W	3	2	1
sce:YBR060C	6	4	2
sce:YOR236W	3	5	3
sce:YOR136W	2	3	4
sce:YLR174W	2	4	3
sce:YDR434W	4	2	0
sce:YAL038W	2	3	5
sce:YHR208W	2	6	5
sce:YIL116W	1	1	2
sce:YOR002W	2	4	2
sce:YBR213W	0	2	3
sce:YLR229C	9	20	2
sce:YLR079W	2	4	2
sce:YLR431C	2	4	0
sce:YDL103C	2	1	1
sce:YFL060C	2	3	2
sce:YGL148W	2	3	3
sce:YFL011W	4	2	5
sce:YDR113C	4	8	2
sce:YNL298W	6	13	5
sce:YGL153W	2	1	3
sce:YOL052C	3	3	1
sce:YPR111W	4	8	3
sce:YOR209C	3	4	2
sce:YGL027C	2	4	1
sce:YGR175C	3	1	2
sce:YDR103W	5	5	4
sce:YDR315C	1	3	2
sce:YCL004W	1	1	2
sce:YER118C	8	5	2
sce:YOR128C	1	2	4
sce:YNL318C	4	2	2
sce:YER129W	2	6	4
sce:YCR012W	4	3	3
sce:YDR232W	2	3	2
sce:YCL024W	7	6	7
sce:YGR192C	7	5	5
sce:YIL035C	8	11	4
sce:YLR438W	3	5	4
sce:YEL002C	4	2	1
sce:YDR142C	6	2	1
sce:YOR317W	5	4	3
sce:YOR249C	2	9	0
sce:YJR069C	2	4	13
sce:YCL050C	2	2	4
sce:YBR274W	3	3	3
sce:YOL086C	2	3	5
sce:YJR016C	1	3	3
sce:YGR092W	4	8	5
sce:YBR166C	1	2	4
sce:YOR127W	5	11	2
sce:YEL071W	2	2	3
sce:YPR119W	6	9	1
sce:YOR083W	3	3	3
sce:YHR084W	4	10	2
sce:YDR261C	4	3	1
sce:YJR094C	2	7	1
sce:YLR239C	1	1	2
sce:YJR019C	3	4	4
sce:YNR034W	3	3	1
sce:YPR060C	2	4	3
sce:YIL083C	3	1	1
sce:YGL205W	2	3	4
sce:YPL023C	1	2	4
sce:YBR234C	3	4	2
sce:YKL152C	4	2	1
sce:YBR252W	2	4	3
sce:YKL127W	2	8	2
sce:YLR423C	7	12	3
sce:YEL036C	3	2	1
sce:YDR531W	3	3	2
sce:YKL186C	3	5	0
sce:YBL078C	9	16	2
sce:YDL028C	3	9	8
sce:YKL048C	3	9	5
sce:YNR031C	5	4	4
sce:YDR516C	3	7	4
sce:YJR156C	0	2	2
sce:YDR284C	1	1	3
sce:YLR446W	2	6	6
sce:YOR195W	6	7	0
sce:YKL067W	3	7	3
sce:YDR371W	2	3	2
sce:YOR311C	3	3	1
sce:YJL013C	1	7	1
sce:YLR288C	4	9	1
sce:YGR072W	4	6	1
sce:YNR059W	2	1	1
sce:YKL203C	6	15	5
sce:YDL174C	3	1	4
sce:YGL012W	2	1	2
sce:YGR010W	1	1	3
sce:YHR098C	7	2	3
sce:YNR012W	2	4	2
sce:YDR022C	6	10	0
sce:YGR282C	4	3	3
sce:YOR106W	3	9	2
sce:YLR410W	3	5	12
sce:YMR165C	7	7	2
sce:YGL089C	2	2	2
sce:YDR228C	4	5	2
sce:YPL087W	3	2	2
sce:YML110C	4	3	3
sce:YLR176C	2	3	3
sce:YER037W	2	5	2
sce:YKL022C	3	8	0
sce:YPR024W	3	7	5
sce:YDR062W	4	4	2
sce:YLR450W	6	3	1
sce:YPL178W	5	9	1
sce:YGL180W	10	13	4
sce:YGL019W	7	10	2
sce:YDR461W	3	1	1
sce:YBL033C	2	1	4
sce:YJL097W	5	4	3
sce:YDL215C	1	3	1
sce:YHR005C	5	7	6
sce:YIL015W	3	4	1
sce:YKL006C-A	3	5	1
sce:YOR120W	3	4	6
sce:YMR125W	6	9	2
sce:YLR354C	2	3	1
sce:YDR410C	3	3	1
sce:YPL050C	5	3	0
sce:YFL008W	3	7	7
sce:YDL120W	5	9	6
sce:YDL029W	3	7	3
sce:YDR258C	3	5	3
sce:YCL040W	3	8	4
sce:YHR111W	2	8	8
sce:YER070W	3	2	4
sce:YER065C	3	2	3
sce:YNL154C	5	6	4
sce:YOL049W	2	1	5
sce:YDR436W	2	1	3
sce:YBR018C	1	1	2
sce:YDR248C	2	2	2
sce:YMR080C	2	10	9
sce:YJL076W	2	7	3
sce:YDR488C	3	4	2
sce:YLR299W	3	3	3
sce:YML054C	6	1	3
sce:YER099C	2	5	4
sce:YDL017W	4	16	5
sce:YBR020W	4	5	2
sce:YLR044C	3	6	6
sce:YKL035W	3	5	3
sce:YOR155C	0	4	3
sce:YOL105C	3	4	1
sce:YHR135C	6	6	4
sce:YDR017C	2	4	7
sce:YFR021W	12	15	4
sce:YNR033W	1	5	1
sce:YLR100W	4	1	2
sce:YNL277W	1	3	1
sce:YOR190W	6	4	1
sce:YDR208W	2	3	4
sce:YJL062W	3	1	1
sce:YGR206W	4	5	1
sce:YPL110C	1	1	2
sce:YGR248W	3	2	1
sce:YER003C	3	4	2
sce:YGL095C	4	11	2
sce:YMR170C	1	3	3
sce:YGL154C	2	1	2
sce:YHR039C-A	4	4	1
sce:YBR218C	2	2	3
sce:YOL009C	8	10	1
sce:YGR233C	3	3	2
sce:YMR011W	3	2	5
sce:YIL009W	3	2	3
sce:YLR115W	2	4	1
sce:YDR148C	4	3	1
sce:YGL212W	4	10	3
sce:YOR269W	7	8	3
sce:YDL126C	11	26	6
sce:YKL016C	4	1	1
sce:YDL244W	0	2	2
sce:YBR221C	3	2	1
sce:YLR303W	2	3	3
sce:YHR074W	2	1	3
sce:YHR030C	7	16	5
sce:YGL211W	3	4	2
sce:YOR221C	1	2	1
sce:YOR039W	7	10	2
sce:YBL105C	8	10	6
sce:YPR020W	4	3	1
sce:YMR113W	3	2	4
sce:YBR217W	4	10	2
sce:YOR275C	3	3	0
sce:YPR035W	3	1	2
sce:YPR036W	4	4	1
sce:YOL157C	0	3	3
sce:YNL316C	1	1	2
sce:YCL027W	4	3	0
sce:YBR208C	2	2	4
sce:YDR451C	2	4	3
sce:YBR084W	2	6	4
sce:YOR375C	3	1	1
sce:YIL113W	2	3	3
sce:YOR202W	0	1	2
sce:YCL009C	3	3	2
sce:YBR176W	1	1	2
sce:YKL181W	3	5	4
sce:YHR046C	2	5	4
sce:YJR159W	0	2	3
sce:YHR128W	1	2	2
sce:YLR211C	5	3	2
sce:YLR425W	2	3	1
sce:YDR490C	2	9	3
sce:YDL168W	3	4	7
sce:YPL140C	5	5	5
sce:YMR054W	8	4	3
sce:YBR070C	4	1	1
sce:YLR277C	2	7	4
sce:YDR301W	3	4	1
sce:YBR256C	0	1	1
sce:YLR355C	2	4	3
sce:YDR437W	4	2	1
sce:YJL128C	5	8	8
sce:YDR380W	3	7	8
sce:YIR034C	2	2	3
sce:YJL164C	5	7	5
sce:YDR468C	7	8	2
sce:YPR185W	5	15	2
sce:YEL009C	3	12	11
sce:YPL069C	1	6	5
sce:YER023W	1	2	2
sce:YOL004W	6	15	3
sce:YDL195W	5	6	1
sce:YKL094W	8	2	3
sce:YLR377C	3	6	2
sce:YGL001C	2	1	5
sce:YAL054C	4	3	4
sce:YOL001W	4	10	2
sce:YDR195W	3	8	2
sce:YDR019C	2	3	2
sce:YKL088W	3	1	3
sce:YJR148W	3	6	5
sce:YHL022C	3	6	7
sce:YJL214W	2	2	4
sce:YGR202C	4	2	2
sce:YLR260W	7	5	4
sce:YIL065C	3	6	0
sce:YLR027C	2	4	2
sce:YNL274C	4	1	5
sce:YNR057C	1	1	3
sce:YFL037W	6	12	4
sce:YKL182W	5	1	13
sce:YEL011W	1	1	4
sce:YCL052C	3	5	1
sce:YPL149W	10	11	3
sce:YLR371W	5	6	2
sce:YIL046W	4	11	3
sce:YGL116W	6	10	2
sce:YLR305C	3	8	2
sce:YIL125W	5	2	2
sce:YMR271C	1	4	1
sce:YJL155C	2	3	3
sce:YMR261C	2	2	3
sce:YGR286C	1	1	4
sce:YMR250W	2	2	2
sce:YDR244W	5	2	3
sce:YNL242W	8	9	2
sce:YLR078C	7	4	2
sce:YDL193W	6	2	1
sce:YOR026W	3	4	1
sce:YMR084W	0	6	1
sce:YOR245C	4	5	2
sce:YMR062C	2	2	3
sce:YNL117W	4	2	1
sce:YJR010W	2	4	2
sce:YEL029C	2	4	3
sce:YDL245C	2	5	4
sce:YBR242W	2	1	3
sce:YER178W	3	3	1
sce:YJL196C	2	6	2
sce:YJR110W	1	1	2
sce:YPL218W	7	10	2
sce:YGR017W	2	0	2
sce:YKL106W	2	5	2
sce:YGL038C	3	1	2
sce:YJL194W	6	6	6
sce:YLR109W	5	4	1
sce:YDL003W	6	9	2
sce:YNL098C	5	11	4
sce:YLR447C	4	5	1
sce:YGR088W	3	3	3
sce:YLR328W	2	1	4
sce:YPR001W	2	3	2
sce:YPL256C	4	6	1
sce:YER106W	3	5	0
sce:YDL182W	2	2	2
sce:YNR008W	6	4	2
sce:YAL043C	2	4	0
sce:YFL018C	7	9	5
sce:YOR108W	1	1	2
sce:YIL074C	1	2	4
sce:YDR242W	0	0	2
sce:YHR008C	2	1	2
sce:YKR031C	4	6	3
sce:YHR071W	2	6	2
sce:YJL187C	2	11	6
